Name                                         PID     Status         CPU%    Memory      Disk (R/W MB/s)   Network   
    esif_uf.exe (1)                          4556    running        0.0%    15.7 MB     0.0 MB/s          N/A       
    OneApp.IGCC.WinService.exe               4600    running        0.0%    38.6 MB     0.0 MB/s          N/A       
    ibmpmsvc.exe                             4632    running        0.0%    7.4 MB      0.0 MB/s          N/A       
    IntelAudioService.exe                    4644    running        0.0%    26.6 MB     0.0 MB/s          N/A       
        conhost.exe                          6976    running        0.0%    6.1 MB      0.0 MB/s          N/A       
      PresentMonService.exe (1)              6956    running        0.0%    16.9 MB     0.0 MB/s          N/A       
    IntelGraphicsSoftware.Service.exe (1)    4668    running        0.0%    57.9 MB     0.0 MB/s          N/A       
    svchost.exe                              4712    running        0.0%    13.7 MB     0.0 MB/s          N/A       
    jhi_service.exe                          4724    running        0.0%    7.8 MB      0.0 MB/s          N/A       
    SmartStandby.exe                         4832    running        0.0%    8.6 MB      0.0 MB/s          N/A       
    MpDefenderCoreService.exe                4864    running        0.0%    28.1 MB     0.0 MB/s          N/A       
    SessionService.exe                       4952    running        0.0%    4.4 MB      0.0 MB/s          N/A       
      RtkAudUService64.exe                   9332    running        0.0%    16.4 MB     0.0 MB/s          N/A       
    RtkAudUService64.exe (1)                 4960    running        0.0%    33.4 MB     0.0 MB/s          N/A       
    svchost.exe                              4988    running        0.0%    10.8 MB     0.0 MB/s          N/A       
    TbtP2pShortcutService.exe                5076    running        0.0%    7.1 MB      0.0 MB/s          N/A       
    svchost.exe                              5144    running        0.0%    6.8 MB      0.0 MB/s          N/A       
    vmware-authd.exe                         5156    running        0.0%    13.8 MB     0.0 MB/s          N/A       
    vmware-usbarbitrator64.exe               5228    running        0.0%    14.1 MB     0.0 MB/s          N/A       
    svchost.exe                              5264    running        0.0%    11.2 MB     0.0 MB/s          N/A       
    WMIRegistrationService.exe               5292    running        0.0%    16.8 MB     0.0 MB/s          N/A       
    svchost.exe                              5304    running        0.0%    26.2 MB     0.0 MB/s          N/A       
    MsMpEng.exe                              5312    running        0.0%    287.8 MB    0.0 MB/s          N/A       
    svchost.exe                              5324    running        0.0%    9.2 MB      0.0 MB/s          N/A       
      tposd.exe                              5752    running        0.0%    13.3 MB     0.0 MB/s          N/A       
      shtctky.exe                            7732    running        0.0%    13.7 MB     0.0 MB/s          N/A       
    tphkload.exe (2)                         5484    running        0.0%    42.8 MB     0.0 MB/s          N/A       
    LITSSvc.exe                              5988    running        0.0%    11.4 MB     0.0 MB/s          N/A       
      dasHost.exe                            15508   running        0.0%    9.6 MB      0.0 MB/s          N/A       
    svchost.exe (1)                          6188    running        0.0%    19.5 MB     0.0 MB/s          N/A       
    svchost.exe                              7172    running        0.0%    24.9 MB     0.0 MB/s          N/A       
    svchost.exe                              7256    running        0.0%    15.5 MB     0.0 MB/s          N/A       
    NisSrv.exe                               7492    running        0.0%    13.6 MB     0.0 MB/s          N/A       
    svchost.exe                              7560    running        0.0%    32.6 MB     0.0 MB/s          N/A       
    svchost.exe                              8196    running        0.0%    21.1 MB     0.0 MB/s          N/A       
    svchost.exe                              8328    running        0.0%    11.1 MB     0.0 MB/s          N/A       
    svchost.exe                              9000    running        0.0%    8.5 MB      0.0 MB/s          N/A       
    svchost.exe                              9024    running        0.0%    23.9 MB     0.0 MB/s          N/A       
    svchost.exe                              9436    running        0.0%    30.3 MB     0.0 MB/s          N/A       
    svchost.exe                              9456    running        0.0%    24.0 MB     0.0 MB/s          N/A       
    svchost.exe                              9752    running        0.0%    71.6 MB     0.0 MB/s          N/A       
    svchost.exe                              9976    running        0.0%    24.7 MB     0.0 MB/s          N/A       
    SecurityHealthService.exe                10608   running        0.0%    25.2 MB     0.0 MB/s          N/A       
    svchost.exe                              11200   running        0.0%    14.0 MB     0.0 MB/s          N/A       
    svchost.exe                              11284   running        0.0%    9.8 MB      0.0 MB/s          N/A       
    svchost.exe                              11428   running        0.0%    20.2 MB     0.0 MB/s          N/A       
    svchost.exe                              11880   running        0.0%    16.7 MB     0.0 MB/s          N/A       
    svchost.exe                              12856   running        0.0%    19.1 MB     0.0 MB/s          N/A       
    svchost.exe                              13540   running        0.0%    14.1 MB     0.0 MB/s          N/A       
    svchost.exe                              13800   running        0.0%    12.6 MB     0.0 MB/s          N/A       
    svchost.exe                              14172   running        0.0%    16.5 MB     0.0 MB/s          N/A       
    svchost.exe                              14176   running        0.0%    14.4 MB     0.0 MB/s          N/A       
    svchost.exe                              14260   running        0.0%    16.8 MB     0.0 MB/s          N/A       
    SearchIndexer.exe                        14496   running        0.0%    26.3 MB     0.0 MB/s          N/A       
    svchost.exe                              14848   running        0.0%    8.5 MB      0.0 MB/s          N/A       
    svchost.exe                              15148   running        0.0%    11.3 MB     0.0 MB/s          N/A       
    vmnetdhcp.exe                            15904   running        0.0%    6.8 MB      0.0 MB/s          N/A       
    svchost.exe                              16140   running        0.0%    10.5 MB     0.0 MB/s          N/A       
    svchost.exe                              16768   running        0.0%    9.5 MB      0.0 MB/s          N/A       
    svchost.exe                              17108   running        0.0%    9.0 MB      0.0 MB/s          N/A       
    svchost.exe                              17152   running        0.0%    7.7 MB      0.0 MB/s          N/A       
    svchost.exe                              17512   running        0.0%    10.6 MB     0.0 MB/s          N/A       
    svchost.exe                              18916   running        0.0%    14.8 MB     0.0 MB/s          N/A       
    FileSyncHelper.exe                       19820   running        0.0%    26.9 MB     0.0 MB/s          N/A       
    svchost.exe                              20040   running        0.0%    7.3 MB      0.0 MB/s          N/A       
  services.exe (121)                         1108    running        0.0%    5,118.8 MB  0.0 MB/s          N/A       
  LsaIso.exe                                 1128    running        0.0%    4.0 MB      0.0 MB/s          N/A       
  lsass.exe                                  1136    running        0.0%    31.8 MB     0.0 MB/s          N/A       
  fontdrvhost.exe                            1344    running        0.0%    4.8 MB      0.0 MB/s          N/A       
wininit.exe (4)                              640     running        0.0%    5,167.1 MB  0.0 MB/s          N/A       
csrss.exe                                    684     running        0.0%    7.4 MB      0.0 MB/s          N/A       
csrss.exe                                    960     running        0.0%    6.3 MB      0.0 MB/s          N/A       
  fontdrvhost.exe                            1336    running        0.0%    9.6 MB      0.0 MB/s          N/A       
  dwm.exe                                    2304    running        0.0%    162.0 MB    0.0 MB/s          N/A       
winlogon.exe (2)                             1032    running        0.0%    185.5 MB    0.0 MB/s          N/A       
  Taskmgr.exe                                3496    running        0.0%    154.0 MB    0.0 MB/s          N/A       
  SecurityHealthSystray.exe                  9416    running        0.0%    17.6 MB     0.0 MB/s          N/A       
    Code.exe                                 6652    running        0.0%    115.2 MB    0.0 MB/s          N/A       
    Code.exe                                 6796    running        0.0%    235.2 MB    0.0 MB/s          N/A       
      powershell.exe                         6284    running        0.0%    75.6 MB     0.0 MB/s          N/A       
      conhost.exe                            11648   running        0.0%    9.1 MB      0.0 MB/s          N/A       
      powershell.exe                         18780   running        0.0%    70.5 MB     0.0 MB/s          N/A       
      conhost.exe                            19360   running        0.0%    9.2 MB      0.0 MB/s          N/A       
    Code.exe (4)                             11176   running        0.0%    283.8 MB    0.0 MB/s          N/A       
    Code.exe                                 11772   running        0.0%    119.9 MB    0.0 MB/s          N/A       
    Code.exe                                 14924   running        0.0%    33.2 MB     0.0 MB/s          N/A       
    Code.exe                                 15168   running        0.0%    48.7 MB     0.0 MB/s          N/A       
      Code.exe                               12320   running        0.0%    97.3 MB     0.0 MB/s          N/A       
      Code.exe                               18544   running        0.0%    422.4 MB    0.0 MB/s          N/A       
        conhost.exe                          16972   running        0.0%    7.4 MB      0.0 MB/s          N/A       
      pet.exe (1)                            18892   running        0.0%    15.4 MB     0.0 MB/s          N/A       
    Code.exe (3)                             15432   running        0.0%    742.8 MB    0.0 MB/s          N/A       
    Code.exe                                 17024   running        0.0%    331.7 MB    0.0 MB/s          N/A       
  Code.exe (8)                               13700   running        0.0%    2,061.3 MB  0.0 MB/s          N/A       
  vmware.exe                                 17644   running        0.0%    75.6 MB     0.0 MB/s          N/A       
    monitor.exe                              4264    running        0.0%    24.2 MB     0.0 MB/s          N/A       
    conhost.exe                              8552    running        0.0%    16.6 MB     0.0 MB/s          N/A       
  monitor.exe (2)                            17904   running        0.0%    49.3 MB     0.0 MB/s          N/A       
explorer.exe (5)                             8344    running        0.0%    2,856.6 MB  0.0 MB/s          N/A       
